private_graduates_certified_2022-23
SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY_CODE,COUNTY,CITY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHOICE_IND,DISTRICT_NAME,SCHOOL_NAME,LOW_GRADE,HIGH_GRADE,GROUP_BY,GROUP_BY_VALUE,STUDENT_COUNT
2022-23,Private school,1,40,Milwaukee,West Allis,6300,1088,Combined Elementary/Secondary School,Yes,West Allis-West Milwaukee,Grace Christian Academy,K4,12,All Students,All Students,7
2022-23,Private school,1,40,Milwaukee,West Allis,6300,1253,Combined Elementary/Secondary School,Yes,West Allis-West Milwaukee,Victory Christian Academy,5,12,All Students,All Students,8
2022-23,School District,6,66,Washington,,6307,,[All],,West Bend,[Districtwide],,,All Students,All Students,192
2022-23,Private school,6,66,Washington,Jackson,6307,1630,High School,Yes,West Bend,Kettle Moraine Lutheran High School,9,12,All Students,All Students,135
2022-23,Private school,6,66,Washington,Jackson,6307,1368,High School,Yes,West Bend,Living Word Lutheran High School,9,12,All Students,All Students,57
2022-23,School District,4,32,La Crosse,,6370,,[All],,West Salem,[Districtwide],,,All Students,All Students,13
2022-23,Private school,4,32,La Crosse,West Salem,6370,436,Combined Elementary/Secondary School,Yes,West Salem,Coulee Christian School,K4,12,All Students,All Students,13
2022-23,School District,4,62,Vernon,,6321,,[All],,Westby Area,[Districtwide],,,All Students,All Students,1
2022-23,Private school,4,62,Vernon,Viroqua,6321,8679,Combined Elementary/Secondary School,No,Westby Area,Cornerstone Christian Academy,K4,12,All Students,All Students,1
2022-23,School District,1,40,Milwaukee,,6419,,[All],,Whitefish Bay,[Districtwide],,,All Students,All Students,73
2022-23,Private school,1,40,Milwaukee,Whitefish Bay,6419,530,High School,Yes,Whitefish Bay,Dominican High School,9,12,All Students,All Students,73
2022-23,School District,1,40,Milwaukee,,6470,,[All],,Whitnall,[Districtwide],,,All Students,All Students,6
2022-23,Private school,1,40,Milwaukee,Hales Corners,6470,1742,Combined Elementary/Secondary School,Yes,Whitnall,Journeys Lutheran School,3,12,All Students,All Students,6
2022-23,School District,8,58,Shawano,,6692,,[All],,Wittenberg-Birnamwood,[Districtwide],,,All Students,All Students,2
2022-23,Private school,8,58,Shawano,Wittenberg,6692,1357,Combined Elementary/Secondary School,No,Wittenberg-Birnamwood,Visions School/Homme Youth and Family Programs,5,12,All Students,All Students,2
